,weighted columns
0,959.1858
1,1448.6445
2,1572.8727000000001
3,529.6103
4,882.0387999999999
5,3896.388
6,5313.909099999998
7,1240.4156
8,864.9919
9,2268.5276000000003
10,1369.4934
11,204.2252
12,2240.4102
13,303.31499999999994
14,18.0153
15,730.8132999999999
16,1027.2682
17,994.1571
18,218.2502
19,1072.221
20,119.1192
21,695.7856999999999
22,327.33639999999997
23,89.0932
24,1097.2984000000001
25,655.7848
26,501.5753
27,254.28559999999996
28,835.9274999999999
29,1458.6821
30,155.1546
31,743.9115
32,119.1192
33,89.0932
34,890.0176999999999
35,388.45920000000007
36,565.6158999999999
37,132.1179
38,558.6681
39,2856.2400000000002
40,474.5518
41,537.6073
42,1154.358
43,1398.5424999999998
44,404.4601
45,1060.2067000000002
46,1061.2396000000003
47,409.39050000000003
48,1895.3449000000005
49,1526.7166
50,89.0932
51,574.694
52,18.0153
53,985.0509
54,2248.7347
55,923.1089999999999
56,174.201
57,424.4979
58,1685.9789999999998
59,18.0153
60,330.337
61,1676.8100000000004
62,131.1729
63,119.1192
64,18.0153
65,3103.5840000000003
66,664.7287999999999
67,430.54040000000003
68,165.1891
69,767.8734000000001
70,997.1709
71,2945.3948000000005
72,3377.7007000000003
73,748.8466999999999
74,385.41360000000003
75,2360.6063
76,807.9618999999999
77,729.8255
78,202.2508
79,402.44599999999997
80,676.7892
81,717.8410999999999
82,851.0644
83,1548.7718
84,735.8034
85,320.4084
86,684.8457
87,1054.1557
88,119.1192
89,650.7237000000001
90,1525.8808
91,4677.1971
92,1002.1212
93,18.0153
94,208.2355
95,1176.2739
96,2171.5550000000003
97,2678.9358000000007
98,18.0153
99,1894.0555000000004
100,119.1192
101,18.0153
102,261.275
103,18.0153
104,206.19650000000001
105,18.0153
106,825.9689
107,809.9134
108,1911.3029000000006
109,791.8483999999999
110,321.37479999999994
111,1082.2884000000001
112,18.0153
113,303.35619999999994
114,117.1463
115,1559.8471
116,75.0666
117,486.57239999999996
118,131.1729
119,585.7034
120,516.5883
121,466.52939999999995
122,174.201
123,384.47380000000004
124,1491.7121
125,1238.4959999999999
126,18.0153
127,18.0153
128,1238.3337
129,1264.2349
130,1712.7462
131,234.2066
132,165.1891
133,857.006
134,499.5842999999999
135,946.1126999999999
136,793.8892000000001
137,649.7804
138,1308.5792
139,238.23979999999997
140,544.5819
141,131.1729
142,18.0153
143,518.5627000000001
144,406.43300000000005
145,348.35380000000004
146,1085.3009000000002
147,1097.3333
148,302.3302
149,586.5988000000001
150,363.42980000000006
151,293.3614
152,2024.3213
153,2513.0319
154,18.0153
155,346.4225
156,1315.4506999999999
157,304.3428
158,518.5646
159,220.18
160,318.32959999999997
161,479.5266
162,146.1876
163,353.37030000000004
164,633.6951
165,18.0153
166,692.7389000000001
167,1067.0735999999997
168,1225.4821
169,155.1546
170,1327.4482000000003
171,18.0153
172,155.1546
173,1576.7769
174,1579.8221
175,875.9712
176,3893.2216000000008
177,245.31859999999998
178,1353.6277999999998
179,18.0153
180,3680.1237
181,925.9405999999999
182,131.1729
183,238.23979999999997
184,606.6529999999999
185,420.5257
186,735.9141999999999
187,1166.2212000000002
188,389.45059999999995
189,4315.794199999998
190,573.6826000000001
191,1009.1547000000002
192,233.2218
193,585.6519000000001
194,1033.2029
195,2088.4529
196,303.31499999999994
197,18.0153
198,612.785
199,18.0153
200,1055.1887000000002
201,518.5627000000001
202,233.2218
203,1395.3831
204,960.0048999999999
205,2711.9607
206,284.3314
207,448.4714
208,266.293
209,174.201
210,709.8536999999999
211,18.0153
212,18.0153
213,446.47869999999995
214,222.2404
215,578.661
216,105.0926
217,309.3177
218,906.0404000000001
219,772.8865999999999
220,775.8485999999999
221,362.44829999999996
222,2026.3406
223,1569.8044
224,208.2355
225,1038.3006
226,18.0153
227,376.3657
228,273.332
229,121.1582
230,2738.1290000000004
231,1031.0763
232,1479.6848
233,232.2768
234,1271.3982
235,2450.6927999999994
236,119.1192
237,931.1075999999999
238,18.0153
239,440.49549999999994
240,713.8639
